udi,product_id,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,failure_type,failure_name
446,L47625,-1.1869806952989665,-0.8735150946146939,1.4246203047506685,-1.3100166880582473,-0.4197409936702005,0,No Failure
7076,L54255,0.2913668425391681,0.23808932797901547,0.22005820330050063,0.7546642694731029,1.1694006645176926,0,No Failure
1191,L48370,-1.5336120376100353,-1.0640914200550036,-0.33485066710560996,0.214919822566405,-0.8409063506463136,0,No Failure
2618,L49797,-0.20465991857047608,-0.5278584320484618,0.9614293430232357,-0.40471680821774897,-0.4459191404420153,0,No Failure
5067,L52246,2.3451579809738803,2.096520582427628,0.3123760433228348,-0.8901723046231351,-1.6793025561206267,0,No Failure
191,L47370,-0.7697613987560095,-1.0640914200550036,-0.208504800392331,1.0187781350329868,-0.3979179193672613,0,No Failure
2601,L49780,-0.23679888988190287,-0.5909490574270496,-0.6959079368789584,0.741387603841135,-1.135284209184952,0,No Failure
3300,L50479,0.5569266030950195,0.23808932797901547,-1.018778135032987,0.5775565284075048,-0.5106307929450439,0,No Failure
6729,L53908,0.6410017876338546,0.5481577591460677,1.6932942187278006,-1.6640817375143429,0.1650954314192633,0,No Failure
4824,L52003,1.6252743979297115,1.2668604147849325,-0.08415533089046491,-0.11820414480337675,-1.4715547920810814,0,No Failure
6848,L54027,0.5206614945725153,0.8976552584244694,1.2951488521340422,-1.1619759226681268,-1.8448108052715728,0,No Failure
1238,M16097,-1.6205922981199683,-1.0640914200550036,-0.006272884668573728,-0.25619820084759365,0.9634229068168816,0,No Failure
199,L47378,-0.6502735865864832,-0.7833298589586443,0.5321897309193043,-0.49780907548583325,-0.09423192523971015,0,No Failure
3703,L50882,0.8534796042994967,0.7630300992592182,-0.5879638515001888,0.48506868059807196,-1.4319708910352655,0,No Failure
6984,M21843,0.2913668425391681,0.6256698215946752,-1.6159454578478454,1.4215561053091323,0.5120605851503511,0,No Failure
3601,L50780,0.7233425303259222,0.23808932797901547,0.13971029888186212,-0.5307448590321737,0.9634229068168816,0,No Failure
1737,L48916,-0.6502735865864832,-1.4678604169994043,0.2756944187159562,-0.40471680821774897,0.2913668425391678,0,No Failure
6992,L54171,0.3601717239541596,0.7023154143045922,0.050203829430400866,-0.648724421102073,0.802225683044881,0,No Failure
9921,H39334,-0.5969353414048746,-0.7833298589586443,-0.4252277308747451,0.3870776830245226,-1.072972882447744,0,No Failure
5593,L52772,1.179401750967482,1.2668604147849325,-0.551075993139237,0.6800125783688009,-0.48506868059807196,0,No Failure
2910,L50089,0.2913668425391681,-0.24584036910272783,-0.023839063182251485,0.40471680821774897,0.1650954314192633,0,No Failure
8041,L55220,0.3601717239541596,1.2668604147849325,-0.04266827932052222,-0.06025574033725543,-1.1794017509674812,0,No Failure
8525,L55704,-0.7087518565195292,-0.3588334068058776,-0.2796060306706415,0.6226211131134609,-1.6299924006834738,0,No Failure
4475,L51654,1.2953625370248543,0.23808932797901547,0.3979179193672613,-0.49780907548583325,-1.7219140740079046,0,No Failure
7611,M22470,0.1650954314192633,0.8214123849032883,0.0351351513638127,0.34016306172557254,-0.8409063506463136,0,No Failure
2405,M17264,-0.3097425315385302,-0.7833298589586443,1.9607671531912327,-1.8803524454038238,0.9070802442763028,0,No Failure
9048,L56227,-1.4319708910352655,-1.0640914200550036,-0.12199509496959789,-0.2471336338581233,-0.43072729929545744,0,No Failure
146,L47325,-0.5969353414048746,-1.0640914200550036,0.08037886482297532,-0.6287243565705408,0.802225683044881,0,No Failure
2049,L49228,-0.23679888988190287,-0.4696030591824158,-0.2979179785635167,0.14477960565136005,0.23550884598922833,0,No Failure
2964,M17823,0.2913668425391681,-0.24584036910272783,-0.5379803848163829,0.30579628164909695,-0.5321897309193043,0,No Failure
8868,L56047,-0.9495472701112365,-0.6502735865864832,0.4170023666077755,0.19058741753346198,-0.6911210235519155,0,No Failure
9211,M24070,-0.9495472701112365,-0.5909490574270496,2.6557226677026335,-2.651731984747387,-0.29267606076175356,0,No Failure
8598,L55777,-1.1070593519207448,-1.1570614694975134,-0.8302341575863221,0.7039217888285135,1.1448959732150612,0,No Failure
1123,L48302,-2.0643925766586095,-1.7861555612610769,0.2536062084064879,-0.13971029888186212,-0.10305676609118128,0,No Failure
3894,L51073,1.0315087602176443,0.7630300992592182,0.30579628164909695,0.06402672253786497,-0.47240654071462673,0,No Failure
5175,M20034,2.6117120822772177,2.6517319847473857,-1.018778135032987,0.7987689042511946,-0.2796060306706415,0,No Failure
2477,H31890,-0.401995024919857,-1.0640914200550036,-0.43210422284237443,0.2471336338581233,0.49780907548583325,0,No Failure
5531,M20390,1.0315087602176443,1.1971932730470463,-1.3846282582878238,1.044408794872596,-0.040156988733765366,0,No Failure
7916,H37329,0.3601717239541596,1.3813636807162484,0.15873980759786757,-0.4822482148379233,0.6847629895935872,0,No Failure
5441,H34854,1.4284820653066659,1.669112456535541,1.084195157559207,-0.9795114633875127,-0.208504800392331,0,No Failure
5764,H35177,0.7663914083131549,0.7630300992592182,-0.4170023666077755,-0.050203829430400866,-0.4197409936702005,0,No Failure
3779,M18638,1.1117020775386441,0.7023154143045922,-1.2696643851806635,1.4903351443303179,-5.199337582605575,0,No Failure
8844,H38257,-1.4319708910352655,-0.7103655549160232,0.40607882375069193,-0.19058741753346198,1.1448959732150612,0,No Failure
4227,L51406,0.8920383589928601,0.4752137400618246,0.5731153914071755,-0.2743914878600369,-0.8074289049225601,0,No Failure
7525,L54704,0.02509400752630838,0.9815403910462731,0.8126540791496972,-0.8716792497377877,-1.0103819916421055,0,No Failure
3002,L50181,0.1650954314192633,-0.14351193520725253,-0.47943158017267357,0.3870776830245226,0.6847629895935872,0,No Failure
6076,L53255,0.45703255293911804,0.5481577591460677,1.496241798544232,-1.109377725663068,1.3129814789733738,0,No Failure
7154,L54333,0.02509400752630838,-0.05397264705241303,-0.08415533089046491,0.741387603841135,0.802225683044881,0,No Failure
1108,M15967,-1.934488838631409,-1.887753435404271,0.090452135978169,0.214919822566405,-0.6210989280340984,0,No Failure
5754,L52933,0.945616266743319,1.044408794872596,-0.7563331967496455,1.4496822521911643,-0.7249732056113146,0,No Failure
7020,L54199,0.3601717239541596,0.4752137400618246,1.2334945619686921,-1.2668604147849325,-0.879040384840073,0,No Failure
4094,M18953,0.8534796042994967,0.23808932797901547,0.45424895715848385,-0.7799242980174861,0.41290027487906894,0,No Failure
1552,L48731,-0.6502735865864832,-0.7103655549160232,-0.3481497443296034,0.017564865040990845,0.037645951375149304,0,No Failure
8607,M23466,-1.1869806952989665,-1.0640914200550036,0.01881964145130391,-0.2639845916795205,1.9681650597944014,0,No Failure
3913,L51092,1.1117020775386441,0.8976552584244694,-0.22391579796511601,0.05146002009662907,0.21877306861158433,0,No Failure
5295,L52474,2.053335604240414,2.5117912497307806,-0.5134914249316125,0.8680163439466393,0.8373383608517686,0,No Failure
931,M15790,-3.0899351529977443,-3.208419212137666,-0.3965603560912216,0.741387603841135,-1.6793025561206267,0,No Failure
130,L47309,-0.401995024919857,-0.9734487290930867,0.3722459868401697,-0.5627963389464197,0.21877306861158433,0,No Failure
9041,L56220,-1.4319708910352655,-1.1570614694975134,0.3123760433228348,-0.2848281875311331,-0.6333171952445416,0,No Failure
3420,L50599,0.6410017876338546,0.23808932797901547,0.6658523100249352,-0.6059551370107433,0.42797589705251554,0,No Failure
4347,L51526,0.7663914083131549,-0.19570017830120398,0.5885082234640082,-0.945616266743319,0.1931431668132398,0,No Failure
8329,L55508,-0.5496162910697036,-0.3018547881702473,-1.7387310479091869,1.2414831813702252,0.23550884598922833,0,No Failure
1288,L48467,-0.5969353414048746,-0.24584036910272783,-0.7233425303259227,0.14477960565136005,-0.028859085604391908,0,No Failure
9931,L57110,-0.7087518565195292,-1.1570614694975134,-0.40744159301214816,0.5452441858688841,-0.5106307929450439,0,No Failure
6441,L53620,0.22134370153416588,0.06276962995222422,0.86072523825827,-0.8161498870226594,-0.7613526744643049,0,No Failure
5052,L52231,2.053335604240414,1.976943225725333,-0.18547963396527678,-0.0012545690351248712,0.8716792497377875,0,No Failure
7960,L55139,0.45703255293911804,1.3813636807162484,0.5192253494916858,-0.7563331967496455,-0.6911210235519155,0,No Failure
5127,L52306,2.9674303617294284,2.6517319847473857,1.4406351167763072,-1.4532795741807998,0.7748328448180757,0,No Failure
4137,L51316,0.7233425303259222,0.0012545690351250104,-0.13464457985184158,0.8214123849032883,-0.9261763243026125,0,No Failure
3481,L50660,0.810909895029389,0.4752137400618246,-0.9223302184168565,1.8245559358037484,-0.3268997056244447,0,No Failure
9585,L56764,-0.23679888988190287,0.23808932797901547,0.1714577311709981,0.12199509496959803,-1.3557611526861928,0,No Failure
9976,M24835,-0.5496162910697036,-1.1570614694975134,0.536531036867804,-0.5790394381393529,0.8373383608517686,0,No Failure
2828,L50007,0.11567779147481853,-0.3588334068058776,-0.810909895029389,1.184446818906046,0.5510759931392373,0,No Failure
6088,M20947,0.41153445690731005,0.4752137400618246,0.5909490574270496,-0.6863498948283557,-1.7679032638816,0,No Failure
7696,L54875,0.22134370153416588,1.116368890290762,-0.12199509496959789,0.7884553079874755,-1.2049354338870706,0,No Failure
1580,L48759,-0.7087518565195292,-1.1570614694975134,-0.48930663465583857,0.3789773215364033,0.8716792497377875,0,No Failure
1571,L48750,-0.7697613987560095,-1.0640914200550036,-0.40744159301214816,0.3534865321372101,0.605955137010743,0,No Failure
7750,L54929,0.11567779147481853,1.044408794872596,0.9815403910462731,-0.6863498948283557,0.802225683044881,0,No Failure
4831,L52010,1.6252743979297115,1.3310177115031379,1.291767611856733,-1.0124743363652702,-1.072972882447744,0,No Failure
6951,H36364,0.2913668425391681,0.8214123849032883,-1.184446818906046,1.327981604121872,-0.47240654071462673,0,No Failure
8367,M23226,-0.401995024919857,-0.14351193520725253,1.562287251791873,-1.7034580986540862,-1.3189459369803573,0,No Failure
1799,M16658,-0.8883093448377877,-1.887753435404271,-0.6195781807120453,1.3070633676592225,-0.1689119927864557,0,No Failure
4199,M19058,1.1117020775386441,0.7023154143045922,-0.6089726877092596,0.44730528078111165,1.2529876254001933,0,No Failure
8046,M22905,0.2913668425391681,1.2668604147849325,-1.2696643851806635,1.5756125802060135,-0.9261763243026125,0,No Failure
9150,M24009,-1.1869806952989665,-0.8735150946146939,-0.6394618524871729,1.077445511147958,0.26138737267788775,0,No Failure
4538,L51717,1.0315087602176443,0.06276962995222422,0.2992297324571835,-0.46121460457058916,0.7748328448180757,0,No Failure
8352,M23211,-0.5120605851503511,-0.24584036910272783,1.0293754021782244,-1.368450292253209,1.1047469132423209,0,No Failure
